time,measurement1,measurement2,measurement3
2020-01-05T00:00:00.000Z,0.86,1,0.764493687
2020-01-19T00:00:00.000Z,0.66,0.998249453,0.967791806
2020-01-24T00:00:00.000Z,0.74,1.094091904,0.577170832
2020-01-29T00:00:00.000Z,0.72,1.094967177,0.655501159
2020-02-05T00:00:00.000Z,0.96,0.99059081,0.585931461
2020-02-10T00:00:00.000Z,1.02,0.954485777,0.656016491
2020-02-17T00:00:00.000Z,0.79,0.85536105,0.658335481
2020-02-22T00:00:00.000Z,1,0.659080963,0.732285493
2020-03-05T00:00:00.000Z,1,0.751859956,0.388044318
2020-03-12T00:00:00.000Z,0.8,0.454266958,0.721721206
2020-03-17T00:00:00.000Z,1.04,0.518161926,0.890234476
2020-03-29T00:00:00.000Z,0.8,0.448577681,0.84308168
2020-03-31T00:00:00.000Z,0.77,0.524726477,0.795413553
2020-04-05T00:00:00.000Z,0.77,0.467833698,1.068539036
2020-04-17T00:00:00.000Z,0.74,,1.335222881
2020-04-28T00:00:00.000Z,0.66,,1.32079361
2020-04-29T00:00:00.000Z,0.66,,1.322339603
2020-05-07T00:00:00.000Z,0.71,,1.070858026
2020-05-21T00:00:00.000Z,1.01,,0.911105385
2020-06-04T00:00:00.000Z,0.69,,1.099458902
2020-06-18T00:00:00.000Z,0.96,,1.030404535
2020-07-02T00:00:00.000Z,0.9,,0.895903118
2020-07-07T00:00:00.000Z,0.76,,1.076269003
2020-07-30T00:00:00.000Z,0.82,,1.119556815
2020-08-13T00:00:00.000Z,0.76,,1.271321824
2020-08-27T00:00:00.000Z,1.11,,0.916637961
2020-09-10T00:00:00.000Z,0.99,,0.604891492
2020-10-08T00:00:00.000Z,1.25,,0.506028247
2020-11-05T00:00:00.000Z,0.8,,0.528763348
2020-12-03T00:00:00.000Z,0.76,,0.581467447
2020-12-31T00:00:00.000Z,0.82,,1.059249053
2021-01-28T00:00:00.000Z,0.61,,0.863878746
2021-02-11T00:00:00.000Z,,,0.78886669
2021-03-11T00:00:00.000Z,,,0.702941784
2021-04-08T00:00:00.000Z,,,0.797189115
2021-04-27T00:00:00.000Z,,,0.974509128
2021-05-06T00:00:00.000Z,,,0.981054082
